date-1,time-1,open-1,high-1,low-1,close-1,volume-1,percent-change-1,time-2,open-2,high-2,low-2,close-2,volume-2,percent-change-2,time-3,open-3,high-3,low-3,close-3,volume-3,percent-change-3,outcome
10/20/2021,9:00,4512,4512.5,4511.25,4511.5,520,0.11,10:00,4520.75,4520.75,4518.75,4519.5,3170,0.28,11:00,4525.5,4527.25,4525.5,4527,1950,0.45,1.75
10/19/2021,9:00,4493.25,4493.25,4492,4492.75,960,-0.22,10:00,4491,4492,4490.5,4491.25,2610,-0.25,11:00,4503,4504.25,4502.75,4503.5,2080,0.02,8.5
10/18/2021,9:00,4439.75,4440.25,4438.5,4440,658,-0.19,10:00,4457.5,4458.5,4456.5,4458.5,1700,0.22,11:00,4462,4463.25,4462,4462.5,1130,0.31,13.75
10/15/2021,9:00,4429.25,4449.25,4447.5,4447.75,873,0.01,10:00,4457.25,4457.75,4455,4456.25,2650,0.29,11:00,4459,4460,4458.75,4459.5,2290,0.37,4
10/14/2021,9:00,4394.75,4396,4394.75,4395.75,599,0.09,10:00,4400,4403.5,4400,4403.5,5490,0.26,11:00,4416.25,4416.5,4415.25,4416,1560,0.55,12.5
10/13/2021,9:00,4339,4339.75,4338.25,4339.75,537,0.12,10:00,4334.75,4336.25,4331.5,4332,6340,-0.03,11:00,4332.5,4334.25,4332.5,4333.75,2710,0.01,21.5
10/12/2021,9:00,4357,4357.5,4356,4357.5,424,0.50,10:00,4345,4352,4344.5,4351.25,8110,0.35,11:00,4345.25,4354.25,4345,4352,6550,0.49,-16.5
10/11/2021,9:00,4373,4376,4372,4375.5,1270,0.15,10:00,4400,4401.25,4399,4399.5,1580,0.70,11:00,4401,4402.25,4400.75,4402,640,0.62,-53.75
10/8/2021,9:00,4400.75,4402.5,4399.25,4401.5,1430,0.18,10:00,4388,4396.25,4387.5,4395.75,6340,0.05,11:00,4391.75,4393.5,4391,4391.5,2120,-0.05,-9.5
10/7/2021,9:00,4394.5,4395,4394.25,4394.5,471,0.01,10:00,4411.5,4413,4409.75,4413,5520,0.43,11:00,4418.5,4419,4418,4418.25,640,0.55,-27.5
10/6/2021,9:00,4293,4296,4292.5,4295.75,678,0.42,10:00,4292.75,4292.75,4287.25,4288,9880,0.24,11:00,4313.75,4314.5,4308.75,4309,2660,0.73,43.75
10/5/2021,9:00,4311.75,4313,4311,4311,591,0.11,10:00,4317,4323.5,4316.25,4323,4770,0.39,11:00,4349.5,4351,4347,4347.25,2840,0.95,-12.75
10/4/2021,9:00,4338.25,4338.75,4337.5,4338,562,0.31,10:00,4331.5,4336.75,4329.5,4330.5,7450,0.14,11:00,4284.25,4284.25,4280.5,4280.75,4080,-1.01,13.75
10/1/2021,9:00,4309.25,4311,4309.25,4310.25,649,0.04,10:00,4299.25,4304.75,4294,4304.25,7280,-0.10,11:00,4296.5,4299.5,4295.75,4298,4290,-0.24,49.5
9/30/2021,9:00,4363.75,4365.25,4362.75,4362.75,923,-0.11,10:00,4363.75,4365,4361.25,4362,5890,-0.13,11:00,4342.25,4342.5,4339,4342.25,4480,-0.58,-38
9/29/2021,9:00,4360.75,4361.5,4359.5,4359.75,488,-0.03,10:00,4368,4375.25,4368,4374,8180,0.29,11:00,4373.25,4374,4371,4373.25,2810,0.28,-21.25
9/28/2021,9:00,4395.25,4397.75,4394.5,4396.5,905,0.04,10:00,4385.75,4385.75,4380.25,4381,4550,-0.31,11:00,4362,4366.5,4359.5,4359.75,6540,-0.80,-11
9/27/2021,9:00,4435.5,4435.5,4433.5,4433.75,493,-0.05,10:00,4435,4435,4432,4434.25,3490,-0.04,11:00,4437.75,4440,4437.75,4438.5,2330,0.06,-6.75
9/24/2021,9:00,4413.75,4413.75,4412.25,4412.25,281,0.00,10:00,4441.75,4444.5,4441.75,4443.5,4580,0.71,11:00,4432.5,4433.75,4431.25,4432.5,2020,0.46,14.25
9/23/2021,9:00,4405.75,4407.5,4405.5,4407.25,439,-0.06,10:00,4428,4431,4428,4430.25,2600,0.46,11:00,4443.25,4443.5,4441,4442,1590,0.73,-4.75
9/22/2021,9:00,4369,4370,4369,4369.75,210,0.00,10:00,4374.5,4375.25,4373.25,4373.5,3660,0.09,11:00,4385.75,4388.25,4385.75,4388,2490,0.41,-5.25
9/21/2021,9:00,4369.75,4372.5,4369.25,4369.25,1330,-0.14,10:00,4370,4373.5,4368.5,4369,7380,-0.14,11:00,4343.75,4343.75,4339.75,4340.25,3360,-0.80,1.5
9/20/2021,9:00,4346.75,4347.5,4345.5,4346.5,780,0.10,10:00,4363,4364,4357.75,4361,5360,0.43,11:00,4347.25,4348.5,4344.5,4345.25,2780,0.07,0
